,Direct,MinPrice,OutOrigin,OutDestination,OutboundCarrier,InboundCarrier,DepartureDate1,DepartureDate2,Distance,CPM,QuoteDateTime,MomondoLink,GoogleLink
213,False,566,CDG,FOC,China Southern,China Southern,2017-01-26 00:00:00,2017-02-10 00:00:00,5977.169039496525,4.734682893021174,2016-12-30 14:42:00,http://www.momondo.com/flightsearch/?Search=true&TripType=2&SegNo=2&SO0=CDG&SD0=FOC&SDP0=26-01-2017&SO1=FOC&SD1=CDG&SDP1=10-02-2017&AD=1&TK=ECO&DO=false&NA=false,https://www.google.com/flights/#search;f=CDG;t=FOC;d=2017-01-26;r=2017-02-10
217,False,462,CDG,HGH,Hainan Airlines,Hainan Airlines,2017-02-19 00:00:00,2017-03-06 00:00:00,5763.725272995802,4.007824610973061,2017-01-07 20:17:00,http://www.momondo.com/flightsearch/?Search=true&TripType=2&SegNo=2&SO0=CDG&SD0=HGH&SDP0=19-02-2017&SO1=HGH&SD1=CDG&SDP1=06-03-2017&AD=1&TK=ECO&DO=false&NA=false,https://www.google.com/flights/#search;f=CDG;t=HGH;d=2017-02-19;r=2017-03-06
222,False,441,CDG,KMG,China Southern,China Southern,2017-03-18 00:00:00,2017-04-17 00:00:00,5369.267795046253,4.1067052048220765,2017-01-12 01:23:00,http://www.momondo.com/flightsearch/?Search=true&TripType=2&SegNo=2&SO0=CDG&SD0=KMG&SDP0=18-03-2017&SO1=KMG&SD1=CDG&SDP1=17-04-2017&AD=1&TK=ECO&DO=false&NA=false,https://www.google.com/flights/#search;f=CDG;t=KMG;d=2017-03-18;r=2017-04-17
236,False,527,CDG,NGB,China Southern,China Southern,2017-03-24 00:00:00,2017-05-21 00:00:00,5822.093689357898,4.525863272891795,2017-01-05 10:11:00,http://www.momondo.com/flightsearch/?Search=true&TripType=2&SegNo=2&SO0=CDG&SD0=NGB&SDP0=24-03-2017&SO1=NGB&SD1=CDG&SDP1=21-05-2017&AD=1&TK=ECO&DO=false&NA=false,https://www.google.com/flights/#search;f=CDG;t=NGB;d=2017-03-24;r=2017-05-21
237,False,476,CDG,NKG,Hainan Airlines,Hainan Airlines,2017-02-19 00:00:00,2017-03-06 00:00:00,5624.390757549013,4.2315694314190075,2017-01-09 07:24:00,http://www.momondo.com/flightsearch/?Search=true&TripType=2&SegNo=2&SO0=CDG&SD0=NKG&SDP0=19-02-2017&SO1=NKG&SD1=CDG&SDP1=06-03-2017&AD=1&TK=ECO&DO=false&NA=false,https://www.google.com/flights/#search;f=CDG;t=NKG;d=2017-02-19;r=2017-03-06
240,True,514,CDG,PEK,Air China,Air China,2017-05-21 00:00:00,2017-05-29 00:00:00,5089.684259207118,5.049429137673778,2017-01-11 16:39:00,http://www.momondo.com/flightsearch/?Search=true&TripType=2&SegNo=2&SO0=CDG&SD0=PEK&SDP0=21-05-2017&SO1=PEK&SD1=CDG&SDP1=29-05-2017&AD=1&TK=ECO&DO=false&NA=false,https://www.google.com/flights/#search;f=CDG;t=PEK;d=2017-05-21;r=2017-05-29
241,False,420,CDG,PEK,Alitalia,Alitalia,2017-05-25 00:00:00,2017-06-11 00:00:00,5089.684259207118,4.125992680589468,2017-01-12 01:07:00,http://www.momondo.com/flightsearch/?Search=true&TripType=2&SegNo=2&SO0=CDG&SD0=PEK&SDP0=25-05-2017&SO1=PEK&SD1=CDG&SDP1=11-06-2017&AD=1&TK=ECO&DO=false&NA=false,https://www.google.com/flights/#search;f=CDG;t=PEK;d=2017-05-25;r=2017-06-11
242,False,420,CDG,PVG,SAS,SAS,2017-05-11 00:00:00,2017-06-14 00:00:00,5759.521013402868,3.64613653655075,2017-01-02 12:58:00,http://www.momondo.com/flightsearch/?Search=true&TripType=2&SegNo=2&SO0=CDG&SD0=PVG&SDP0=11-05-2017&SO1=PVG&SD1=CDG&SDP1=14-06-2017&AD=1&TK=ECO&DO=false&NA=false,https://www.google.com/flights/#search;f=CDG;t=PVG;d=2017-05-11;r=2017-06-14
243,True,491,CDG,PVG,Air China,Air China,2017-01-30 00:00:00,2017-02-06 00:00:00,5759.521013402868,4.262507236777187,2016-12-31 22:32:00,http://www.momondo.com/flightsearch/?Search=true&TripType=2&SegNo=2&SO0=CDG&SD0=PVG&SDP0=30-01-2017&SO1=PVG&SD1=CDG&SDP1=06-02-2017&AD=1&TK=ECO&DO=false&NA=false,https://www.google.com/flights/#search;f=CDG;t=PVG;d=2017-01-30;r=2017-02-06
244,False,478,CDG,SHA,China Southern,China Southern,2017-05-25 00:00:00,2017-06-18 00:00:00,5740.42664433144,4.163453603853781,2017-01-03 18:36:00,http://www.momondo.com/flightsearch/?Search=true&TripType=2&SegNo=2&SO0=CDG&SD0=SHA&SDP0=25-05-2017&SO1=SHA&SD1=CDG&SDP1=18-06-2017&AD=1&TK=ECO&DO=false&NA=false,https://www.google.com/flights/#search;f=CDG;t=SHA;d=2017-05-25;r=2017-06-18
