CDG,AE,8
CDG,AF,0
CDG,AG,1
CDG,AL,1
CDG,AM,2
CDG,AO,2
CDG,AR,0
CDG,AT,7
CDG,AU,21
CDG,AW,1
CDG,AZ,0
CDG,BA,1
CDG,BB,0
CDG,BD,0
CDG,BE,0
CDG,BF,1
CDG,BG,3
CDG,BH,2
CDG,BI,1
CDG,BJ,2
CDG,BM,1
CDG,BN,1
CDG,BQ,3
CDG,BR,0
CDG,BS,3
CDG,BW,1
CDG,BY,2
CDG,BZ,1
CDG,CA,40
CDG,CD,4
CDG,CF,1
CDG,CG,3
CDG,CH,8
CDG,CI,2
CDG,CL,5
CDG,CM,4
CDG,CN,2
CDG,CO,11
CDG,CR,4
CDG,CU,2
CDG,CW,1
CDG,CY,3
CDG,CZ,1
CDG,DE,7
CDG,DJ,1
CDG,DK,6
CDG,DO,8
CDG,DZ,20
CDG,EC,2
CDG,EE,2
CDG,EG,9
CDG,ER,0
CDG,ES,45
CDG,ET,0
CDG,FI,9
CDG,FJ,2
CDG,FR,43
CDG,GA,2
CDG,GD,0
CDG,GE,0
CDG,GF,1
CDG,GH,0
CDG,GI,1
CDG,GM,1
CDG,GN,1
CDG,GP,4
CDG,GQ,1
CDG,GR,34
CDG,GT,1
CDG,GU,1
CDG,HK,0
CDG,HN,2
CDG,HR,9
CDG,HU,3
CDG,ID,18
CDG,IE,7
CDG,IL,2
CDG,IN,1
CDG,IQ,5
CDG,IR,5
CDG,IS,3
CDG,IT,7
CDG,JM,2
CDG,JO,3
CDG,JP,3
CDG,KE,5
CDG,KG,1
CDG,KH,3
CDG,KM,1
CDG,KN,2
CDG,KO,2
CDG,KR,12
CDG,KW,2
CDG,KY,1
CDG,KZ,3
CDG,LA,2
CDG,LB,1
CDG,LC,3
CDG,LK,2
CDG,LR,1
CDG,LT,1
CDG,LU,2
CDG,LV,2
CDG,MA,13
CDG,MD,1
CDG,ME,3
CDG,MG,2
CDG,MK,1
CDG,ML,0
CDG,MM,3
CDG,MN,0
CDG,MO,1
CDG,MP,0
CDG,MQ,2
CDG,MR,2
CDG,MT,2
CDG,MU,3
CDG,MV,0
CDG,MW,2
CDG,MX,43
CDG,MY,14
CDG,MZ,0
CDG,NE,0
CDG,NG,8
CDG,NI,1
CDG,NL,6
CDG,NO,21
CDG,NP,1
CDG,NZ,14
CDG,OM,3
CDG,PA,2
CDG,PE,1
CDG,PF,3
CDG,PH,12
CDG,PK,8
CDG,PL,12
CDG,PR,3
CDG,PT,3
CDG,PW,1
CDG,QA,2
CDG,RE,2
CDG,RO,8
CDG,RS,2
CDG,RU,29
CDG,RW,1
CDG,SA,11
CDG,SC,3
CDG,SD,0
CDG,SE,3
CDG,SG,2
CDG,SI,1
CDG,SK,2
CDG,SL,0
CDG,SN,2
CDG,SO,2
CDG,SR,1
CDG,SS,1
CDG,SV,1
CDG,SX,2
CDG,SY,0
CDG,TC,1
CDG,TD,2
CDG,TG,2
CDG,TH,12
CDG,TM,1
CDG,TN,6
CDG,TR,2
CDG,TT,2
CDG,TW,6
CDG,TZ,4
CDG,UA,0
CDG,UG,0
CDG,UK,54
CDG,US,13
CDG,UY,2
CDG,VE,4
CDG,VI,2
CDG,VN,2
CDG,YT,2
CDG,ZA,11
CDG,ZM,3
CDG,ZW,3
CDG,AI,1
CDG,AS,0
CDG,BO,2
CDG,CK,1
CDG,CV,4
CDG,DM,2
CDG,FO,1
CDG,GG,0
CDG,GL,0
CDG,GW,0
CDG,GY,2
CDG,HT,0
CDG,KP,0
